date_day,platform,channel,metric,value
2025-02-18,meta,meta_mof,last_click_sessions,"3,715"
2025-02-18,meta,meta_mof,last_click_qs,878
2025-02-18,meta,meta_mof,last_click_cp,40
2025-02-18,meta,meta_mof,last_click_op,25
2025-02-18,organic,search_organic,last_click_sessions,"2,400"
2025-02-18,organic,search_organic,last_click_qs,95
2025-02-18,organic,search_organic,last_click_cp,13
2025-02-18,organic,search_organic,last_click_op,12
2025-02-18,organic,social_organic,last_click_sessions,435
2025-02-18,organic,social_organic,last_click_qs,115
2025-02-18,organic,social_organic,last_click_cp,6
2025-02-18,organic,social_organic,last_click_op,4
2025-02-18,other,other,last_click_sessions,219
2025-02-18,other,other,last_click_qs,17
2025-02-18,other,other,last_click_cp,4
2025-02-18,other,other,last_click_op,3
2025-02-18,referral,referral,last_click_sessions,1
2025-02-18,referral,referral,last_click_qs,0
2025-02-18,referral,referral,last_click_cp,0
2025-02-18,referral,referral,last_click_op,0
2025-02-19,crm,crm_email,last_click_sessions,"1,168"
2025-02-19,crm,crm_email,last_click_qs,15
2025-02-19,crm,crm_email,last_click_cp,2
2025-02-19,crm,crm_email,last_click_op,1
2025-02-19,crm,crm_sms,last_click_sessions,734
2025-02-19,crm,crm_sms,last_click_qs,3
2025-02-19,crm,crm_sms,last_click_cp,1
2025-02-19,crm,crm_sms,last_click_op,1
2025-02-19,direct,direct,last_click_sessions,"1,499"
2025-02-19,direct,direct,last_click_qs,144
2025-02-19,direct,direct,last_click_cp,27
2025-02-19,direct,direct,last_click_op,19
2025-02-19,google,search_paid,last_click_sessions,"4,630"
2025-02-19,google,search_paid,last_click_qs,"1,002"
2025-02-19,google,search_paid,last_click_cp,170
2025-02-19,google,search_paid,last_click_op,133
2025-02-19,google,social_organic,last_click_sessions,15
2025-02-19,google,social_organic,last_click_qs,4
2025-02-19,google,social_organic,last_click_cp,0
2025-02-19,google,social_organic,last_click_op,0
2025-02-19,meta,meta_mof,last_click_sessions,"5,263"
2025-02-19,meta,meta_mof,last_click_qs,"1,148"
2025-02-19,meta,meta_mof,last_click_cp,36
2025-02-19,meta,meta_mof,last_click_op,27
2025-02-19,organic,search_organic,last_click_sessions,"2,415"
2025-02-19,organic,search_organic,last_click_qs,113
2025-02-19,organic,search_organic,last_click_cp,21
2025-02-19,organic,search_organic,last_click_op,16
2025-02-19,organic,social_organic,last_click_sessions,568
2025-02-19,organic,social_organic,last_click_qs,140
2025-02-19,organic,social_organic,last_click_cp,5
2025-02-19,organic,social_organic,last_click_op,5
2025-02-19,other,other,last_click_sessions,205
2025-02-19,other,other,last_click_qs,22
2025-02-19,other,other,last_click_cp,3
2025-02-19,other,other,last_click_op,2
2025-02-20,crm,crm_email,last_click_sessions,"1,154"
2025-02-20,crm,crm_email,last_click_qs,12
2025-02-20,crm,crm_email,last_click_cp,4
2025-02-20,crm,crm_email,last_click_op,4
2025-02-20,crm,crm_sms,last_click_sessions,607
2025-02-20,crm,crm_sms,last_click_qs,2
2025-02-20,crm,crm_sms,last_click_cp,1
2025-02-20,crm,crm_sms,last_click_op,1
2025-02-20,direct,direct,last_click_sessions,"1,415"
2025-02-20,direct,direct,last_click_qs,168
2025-02-20,direct,direct,last_click_cp,35
2025-02-20,direct,direct,last_click_op,31
2025-02-20,google,search_paid,last_click_sessions,"4,596"
2025-02-20,google,search_paid,last_click_qs,964
2025-02-20,google,search_paid,last_click_cp,136
2025-02-20,google,search_paid,last_click_op,106
2025-02-20,google,social_organic,last_click_sessions,8
2025-02-20,google,social_organic,last_click_qs,2
2025-02-20,google,social_organic,last_click_cp,1
2025-02-20,google,social_organic,last_click_op,1
2025-02-20,meta,meta_mof,last_click_sessions,"4,403"
2025-02-20,meta,meta_mof,last_click_qs,"1,021"
2025-02-20,meta,meta_mof,last_click_cp,39
2025-02-20,meta,meta_mof,last_click_op,30
2025-02-20,organic,search_organic,last_click_sessions,"2,484"
2025-02-20,organic,search_organic,last_click_qs,99
2025-02-20,organic,search_organic,last_click_cp,21
2025-02-20,organic,search_organic,last_click_op,14
2025-02-20,organic,social_organic,last_click_sessions,483
2025-02-20,organic,social_organic,last_click_qs,128
2025-02-20,organic,social_organic,last_click_cp,1
2025-02-20,organic,social_organic,last_click_op,1
2025-02-20,other,other,last_click_sessions,219
2025-02-20,other,other,last_click_qs,14
2025-02-20,other,other,last_click_cp,1
2025-02-20,other,other,last_click_op,1
2025-02-21,ai_tools,ai_tools,last_click_sessions,2
2025-02-21,ai_tools,ai_tools,last_click_qs,1
2025-02-21,ai_tools,ai_tools,last_click_cp,0
2025-02-21,ai_tools,ai_tools,last_click_op,0
2025-02-21,crm,crm_email,last_click_sessions,"1,124"
2025-02-21,crm,crm_email,last_click_qs,10
2025-02-21,crm,crm_email,last_click_cp,3
2025-02-21,crm,crm_email,last_click_op,3
2025-02-21,crm,crm_sms,last_click_sessions,625
2025-02-21,crm,crm_sms,last_click_qs,1
2025-02-21,crm,crm_sms,last_click_cp,0
2025-02-21,crm,crm_sms,last_click_op,0
2025-02-21,direct,direct,last_click_sessions,"1,396"
2025-02-21,direct,direct,last_click_qs,137
2025-02-21,direct,direct,last_click_cp,20
2025-02-21,direct,direct,last_click_op,17
2025-02-21,google,search_paid,last_click_sessions,"4,030"
2025-02-21,google,search_paid,last_click_qs,841
2025-02-21,google,search_paid,last_click_cp,126
2025-02-21,google,search_paid,last_click_op,102
2025-02-21,google,social_organic,last_click_sessions,18
2025-02-21,google,social_organic,last_click_qs,5
2025-02-21,google,social_organic,last_click_cp,0
2025-02-21,google,social_organic,last_click_op,0
2025-02-21,meta,meta_mof,last_click_sessions,"4,381"
2025-02-21,meta,meta_mof,last_click_qs,"1,045"
2025-02-21,meta,meta_mof,last_click_cp,37
2025-02-21,meta,meta_mof,last_click_op,26
2025-02-21,organic,search_organic,last_click_sessions,"2,385"
2025-02-21,organic,search_organic,last_click_qs,120
2025-02-21,organic,search_organic,last_click_cp,28
